2022-02-23|12:45:30|Men's running shoes|Nike|-129.99
2022-12-30|17:30:05|Bluetooth headphones|Best Buy|-79.99
2023-04-26|08:15:40|Yoga mat|Lululemon|-68.00
2022-08-16|15:20:30|Women's sunglasses|Ray-Ban|-169.00
2022-09-14|11:05:45|Office chair|Staples|-149.99
2022-04-03|14:40:10|Fitness tracker|Fitbit|-99.95
2022-11-23|12:10:30|Running shorts|Under Armour|-49.99
2023-02-19|14:55:15|Wireless charger|Apple Store|-59.00
2022-12-09|09:15:45|Air purifier|Home Depot|-199.00
2022-01-14|15:40:10|Men's dress shoes|Macy's|-129.99
2022-04-28|12:40:30|Electric razor|Walmart|-89.00
2023-01-23|16:15:45|Men's sunglasses|Oakley|-179.00
2022-11-13|08:30:10|Electric toothbrush|Target|-59.99
2022-07-14|11:20:00|Running socks|Dick's Sporting Goods|-14.99
2022-03-16|15:50:45|Wireless keyboard|Staples|-49.99
2022-06-01|09:10:25|Deposit|Bank of America|+1000.00
2022-10-11|14:15:30|Deposit|Chase Bank|+500.00
2022-02-07|11:20:15|Deposit|Wells Fargo|+250.00
2023-02-11|09:10:25|Deposit|Bank of America|+1700.00
2023-03-21|14:15:30|Deposit|Chase Bank|+800.00
2023-04-27|11:20:15|Deposit|Wells Fargo|+1250.00
2023-05-02|13:07:44|Money|TD Bank|236.77
2023-05-02|12:12:12|food|food|123.23
2023-05-04|10:09:44|Money|Home|-323.21
2023-05-04|01:44:23|Store Money|Store|634.69